City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Henties Bay,NA,2022-07-25 18:11:27,-22.116,14.2845,55.15,94,24,2.28
68,Oranjemund,NA,2022-07-25 18:07:43,-28.55,16.4333,59.07,72,2,6.87
69,Yar-Sale,RU,2022-07-25 18:11:28,66.8333,70.8333,50.11,75,59,15.64
70,Flin Flon,CA,2022-07-25 18:11:28,54.7682,-101.865,72.07,43,99,8.75
71,Codrington,AU,2022-07-25 18:11:28,-38.2667,141.9667,48.99,78,88,22.03
72,Anderson,US,2022-07-25 18:11:06,34.5334,-82.6499,94.95,55,40,16.11
73,Hithadhoo,MV,2022-07-25 18:11:29,-0.6,73.0833,82.71,72,59,9.69
74,Bambous Virieux,MU,2022-07-25 18:06:43,-20.3428,57.7575,68.25,88,40,10.36
75,Yellowknife,CA,2022-07-25 18:11:30,62.456,-114.3525,65.55,48,47,16.89
76,Manokwari,ID,2022-07-25 18:11:30,-0.8667,134.0833,77.32,82,49,2.26
77,Cabo San Lucas,MX,2022-07-25 18:09:30,22.8909,-109.9124,91.62,63,20,11.5
78,Sao Filipe,CV,2022-07-25 18:11:31,14.8961,-24.4956,79.11,84,99,6.04
79,Springbok,ZA,2022-07-25 18:11:32,-29.6643,17.8865,56.14,24,0,7.34
80,Matagami,CA,2022-07-25 18:11:32,49.7502,-77.6328,57.31,88,100,12.66
81,Nouadhibou,MR,2022-07-25 18:11:33,20.931,-17.0347,68.94,92,7,21.0
82,Ivanava,BY,2022-07-25 18:11:33,52.1451,25.5365,65.25,69,16,4.92
83,Muros,ES,2022-07-25 18:11:34,42.7762,-9.0603,79.68,56,18,13.24
84,Inongo,CD,2022-07-25 18:11:34,-1.95,18.2667,71.17,90,92,4.0
85,Harlingen,US,2022-07-25 18:11:35,26.1906,-97.6961,96.76,31,0,17.27
86,Nanortalik,GL,2022-07-25 18:10:09,60.1432,-45.2371,42.39,96,100,5.5
87,Khomutovka,RU,2022-07-25 18:11:35,51.9207,34.5619,60.98,93,47,7.38
88,Punta Arenas,CL,2022-07-25 18:10:40,-53.15,-70.9167,41.11,52,0,14.97
89,Dingle,PH,2022-07-25 18:11:36,10.9995,122.6711,75.99,92,98,2.71
90,Qaanaaq,GL,2022-07-25 18:12:37,77.484,-69.3632,42.69,73,1,0.49
91,Buraydah,SA,2022-07-25 18:12:37,26.326,43.975,96.28,12,26,14.18
92,Arraial Do Cabo,BR,2022-07-25 18:12:37,-22.9661,-42.0278,75.06,78,0,19.57
93,Tarrafal,CV,2022-07-25 18:12:38,15.2833,-23.7667,83.19,84,94,5.99
94,Castro,BR,2022-07-25 18:12:39,-24.7911,-50.0119,74.57,41,82,3.58
95,Olafsvik,IS,2022-07-25 18:08:20,64.8945,-23.7142,52.99,67,96,5.44
96,Galle,LK,2022-07-25 18:12:39,6.0367,80.217,79.0,88,99,11.68
97,Pevek,RU,2022-07-25 18:11:50,69.7008,170.3133,35.1,84,90,6.29
98,Sorland,NO,2022-07-25 18:11:13,67.667,12.6934,55.26,89,96,14.05
99,Kavaratti,IN,2022-07-25 18:12:40,10.5669,72.642,81.43,80,12,16.4
100,Zhangye,CN,2022-07-25 18:12:41,38.9342,100.4517,74.66,35,93,13.0
101,Bluff,NZ,2022-07-25 18:12:41,-46.6,168.3333,44.8,86,100,25.48
102,Chuy,UY,2022-07-25 18:12:42,-33.6971,-53.4616,61.99,90,100,8.52
103,Westerville,US,2022-07-25 18:09:12,40.1262,-82.9291,82.98,57,40,10.36
104,Kendari,ID,2022-07-25 18:12:42,-3.945,122.4989,73.35,93,42,2.91
105,Alofi,NU,2022-07-25 18:12:43,-19.0595,-169.9187,69.69,68,40,8.05
106,Tabas,IR,2022-07-25 18:12:43,33.5959,56.9244,102.16,12,0,12.84
107,Uren,RU,2022-07-25 18:12:44,57.4552,45.7852,65.37,89,47,3.13
108,Kapaa,US,2022-07-25 18:12:44,22.0752,-159.319,80.92,69,20,12.66
109,Kangaatsiaq,GL,2022-07-25 18:12:45,68.3065,-53.4641,39.94,97,100,9.42
110,Chokurdakh,RU,2022-07-25 18:11:45,70.6333,147.9167,47.39,63,90,11.23
111,Vestmannaeyjar,IS,2022-07-25 18:08:36,63.4427,-20.2734,52.79,82,20,9.22
112,Saldanha,ZA,2022-07-25 18:12:46,-33.0117,17.9442,57.79,66,0,10.56
113,Nikolskoye,RU,2022-07-25 18:12:46,59.7035,30.7861,67.91,91,65,3.78
114,Hasaki,JP,2022-07-25 18:12:47,35.7333,140.8333,79.29,94,57,14.54
115,Solhan,TR,2022-07-25 18:12:47,38.9634,41.0293,69.15,34,2,1.25
116,Te Anau,NZ,2022-07-25 18:08:11,-45.4167,167.7167,38.52,95,100,2.82
117,Upernavik,GL,2022-07-25 18:11:11,72.7868,-56.1549,40.24,89,90,11.3
118,Saskylakh,RU,2022-07-25 18:12:15,71.9167,114.0833,66.97,68,97,6.76
119,Khatanga,RU,2022-07-25 18:12:49,71.9667,102.5,65.26,72,100,3.04
120,Arman,RU,2022-07-25 18:12:49,59.7,150.1667,52.03,88,20,2.8
121,Bougouni,ML,2022-07-25 18:12:49,11.417,-7.479,80.67,77,88,4.72
122,Bowen,AU,2022-07-25 18:12:50,-20.0167,148.2333,62.2,87,53,7.99
123,Zhigansk,RU,2022-07-25 18:12:12,66.7697,123.3711,57.09,75,6,0.65
124,Nelson Bay,AU,2022-07-25 18:12:51,-32.7167,152.15,52.09,98,6,3.0
125,Kikerino,RU,2022-07-25 18:12:51,59.4667,29.6333,62.15,80,69,4.12
126,Richards Bay,ZA,2022-07-25 18:12:52,-28.783,32.0377,59.72,70,16,6.73
127,Dudinka,RU,2022-07-25 18:12:52,69.4058,86.1778,56.62,80,97,13.71
128,Humaita,BR,2022-07-25 18:12:53,-7.5061,-63.0208,99.43,21,6,4.5
129,Antalaha,MG,2022-07-25 18:12:54,-14.9003,50.2788,68.65,83,62,7.4
130,Eureka,US,2022-07-25 18:08:32,40.8021,-124.1637,80.67,76,22,4.0
131,Bayanday,RU,2022-07-25 18:12:54,53.0661,105.5139,55.29,99,100,4.68
132,Airai,TL,2022-07-25 18:11:06,-8.9266,125.4092,54.1,81,12,3.02
133,Markova,UA,2022-07-25 18:12:55,48.6758,24.4138,65.25,57,39,1.1
134,Kashan,IR,2022-07-25 18:13:56,33.9831,51.4364,92.25,26,0,11.86
135,Kodiak,US,2022-07-25 18:13:56,57.79,-152.4072,62.11,67,0,12.66
136,Lavrentiya,RU,2022-07-25 18:13:57,65.5833,-171.0,40.3,93,100,14.0
137,Mount Gambier,AU,2022-07-25 18:13:57,-37.8333,140.7667,46.31,87,40,17.27
138,Lichinga,MZ,2022-07-25 18:13:58,-13.3128,35.2406,57.96,71,73,4.94
139,Tra Vinh,VN,2022-07-25 18:13:40,9.9347,106.3453,78.4,88,83,4.52
140,Lasa,IT,2022-07-25 18:13:59,46.6166,10.7002,80.69,83,54,3.09
141,Comodoro Rivadavia,AR,2022-07-25 18:12:24,-45.8667,-67.5,42.66,81,40,4.61
142,Socorro,US,2022-07-25 18:13:59,31.6546,-106.3033,90.61,38,40,12.66
143,Santa Cruz,BO,2022-07-25 18:10:58,-17.8,-63.1667,87.85,55,40,18.41
144,Nabire,ID,2022-07-25 18:14:00,-3.3667,135.4833,75.22,93,100,3.47
145,Batticaloa,LK,2022-07-25 18:14:01,7.7102,81.6924,80.49,81,98,6.55
146,Vikhorevka,RU,2022-07-25 18:14:01,56.1201,101.1636,62.19,96,100,9.62
147,Sunrise Manor,US,2022-07-25 18:14:02,36.2111,-115.0731,96.39,36,20,9.22
148,Aldergrove,CA,2022-07-25 18:14:02,49.058,-122.4709,81.23,62,0,2.3
149,Tuktoyaktuk,CA,2022-07-25 18:14:03,69.4541,-133.0374,51.8,76,75,13.8
150,Puerto Escondido,MX,2022-07-25 18:14:04,15.85,-97.0667,86.83,66,40,5.75
151,La Palma,US,2022-07-25 18:14:04,33.8464,-118.0467,88.81,73,75,9.22
152,Laguna,US,2022-07-25 18:12:44,38.421,-121.4238,89.96,52,0,8.05
153,Harper,LR,2022-07-25 18:09:18,4.375,-7.7169,76.39,70,85,6.4
154,Malanje,AO,2022-07-25 18:14:06,-9.5402,16.341,74.26,24,19,4.03
