City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
175,Caibarien,CU,81.82,moderate rain,22.5206,-79.4669,La Nena
176,Marshfield,US,77.88,overcast clouds,44.6689,-90.1718,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel"
178,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
180,Bubaque,GW,79.9,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
181,Shu,KZ,76.95,few clouds,43.5983,73.7614,Shyngyzkhan
182,Evanston,US,79.47,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
183,Lazaro Cardenas,MX,84.58,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
185,Lorengau,PG,84.33,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
186,Yashkul,RU,75.16,broken clouds,46.1711,45.3435,"Gostinitsa ""Putnik"""
188,Taybad,IR,78.93,clear sky,34.74,60.7756,لی پوش jean center
189,Englehart,CA,75.22,clear sky,47.8169,-79.8664,Englehart Motel & Restaurant
193,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
197,Manor,IN,77.83,moderate rain,19.75,72.9167,Vegas Hotel And Lodging.
198,San Policarpo,PH,81.63,overcast clouds,12.1791,125.5072,Agapita M. Nicart
199,Havelock,US,84.18,overcast clouds,34.8791,-76.9013,Sherwood Motel
203,Phibun Mangsahan,TH,78.78,overcast clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
204,Krokeai,GR,77.95,clear sky,36.8833,22.55,Dorfurlaub-RACHI
206,Half Moon Bay,US,81.91,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
208,Jinchang,CN,71.29,scattered clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
211,Kandi,BJ,75.45,overcast clouds,11.1342,2.9386,Hébergement de la Poste
214,Korla,CN,82.45,clear sky,41.7597,86.1469,Gulisitan Hotel
215,Ivanovka,KG,77.59,clear sky,42.8878,75.085,
220,Niquelandia,BR,70.27,clear sky,-14.4739,-48.4597,Hotel Suinã
221,Port Hardy,CA,75.38,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
222,Atambua,ID,73.74,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
226,Santa Cruz Del Sur,CU,80.58,scattered clouds,20.7147,-77.9956,
227,Mao,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
233,Izumo,JP,84.09,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
236,Belmonte,BR,71.08,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
238,Rong Kwang,TH,78.28,broken clouds,18.339,100.3174,Rong Kwang Hotel
239,Carutapera,BR,76.87,overcast clouds,-1.195,-46.02,Lidera
245,Mogadishu,SO,75.72,broken clouds,2.0371,45.3438,Hotel Juba
248,Pokhara,NP,71.37,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
252,Hambantota,LK,79.21,overcast clouds,6.1241,81.1185,Bungalow 63
254,Vila Velha,BR,71.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
255,Nioro,GM,77.47,broken clouds,13.35,-15.75,
256,High Level,CA,80.71,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
260,Weinan,CN,73.83,overcast clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
262,Lompoc,US,83.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
263,Didwana,IN,81.09,moderate rain,27.4,74.5667,Marudhar Hotel Didwana
265,Lucea,JM,82.26,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
266,Bireun,ID,76.69,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
267,Oriximina,BR,78.57,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
272,Huilong,CN,84.92,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
273,Sao Gabriel Da Cachoeira,BR,72.97,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
274,Lakatoro,VU,81.72,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
275,Ola,RU,71.15,overcast clouds,59.5833,151.2833,
276,Benjamin Aceval,PY,75.6,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
278,Lithakia,GR,76.33,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
280,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
281,Ende,ID,77.59,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
282,Namatanai,PG,84.4,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
284,Biak,ID,75.74,light rain,-0.9131,122.8766,Penginapan Kim
285,Teknaf,BD,79.2,broken clouds,20.8624,92.3058,Forestry Guesthouse
286,Buala,SB,83.82,light rain,-8.145,159.5921,Maringe Lagoon Lodge
289,Puerto Escondido,MX,81.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
291,Vanimo,PG,83.64,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
294,Sur,OM,81.01,broken clouds,22.5667,59.5289,Sur Plaza Hotel
297,Kewanee,US,75.43,overcast clouds,41.2456,-89.9248,AmericInn by Wyndham Kewanee
299,Changji,CN,79.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
