City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,San Quintin,MX,30.4833,-115.95,72.21,69,8,11.92,clear sky
79,Bathsheba,BB,13.2167,-59.5167,81.21,85,20,17.27,few clouds
80,Busselton,AU,-33.65,115.3333,49.91,82,34,7.2,scattered clouds
81,Klishkivtsi,UA,48.4316,26.2623,62.47,82,5,8.21,clear sky
82,Dalvik,IS,65.9702,-18.5286,51.73,82,100,4.74,overcast clouds
83,Ilo,PE,-17.6394,-71.3375,59.85,83,54,7.78,broken clouds
84,Caravelas,BR,-17.7125,-39.2481,70.3,81,1,6.53,clear sky
85,Seoul,KR,37.5683,126.9778,83.77,74,75,4.61,broken clouds
86,Castro,BR,-24.7911,-50.0119,57.52,74,0,3.6,clear sky
87,Dingle,PH,10.9995,122.6711,82.18,83,75,6.93,broken clouds
88,Rincon De Tamayo,MX,20.4167,-100.75,73.45,54,95,1.74,overcast clouds
89,Grand Gaube,MU,-20.0064,57.6608,68.38,78,5,5.01,clear sky
90,Norman Wells,CA,65.282,-126.8329,57.24,94,100,17.27,light intensity shower rain
91,Pombas,CV,17.1503,-25.0201,76.78,89,33,3.02,scattered clouds
92,Grindavik,IS,63.8424,-22.4338,55.35,100,100,16.11,mist
93,Isangel,VU,-19.55,169.2667,77.2,79,98,10.96,overcast clouds
94,Santa Fe,AR,-31.6333,-60.7,76.01,62,87,8.59,light rain
95,Kavaratti,IN,10.5669,72.642,81.52,77,100,15.73,overcast clouds
96,Bam,IR,29.106,58.357,82.56,58,100,3.51,light rain
97,Salima,MW,-13.7804,34.4587,64.04,76,5,9.95,clear sky
98,Longyearbyen,SJ,78.2186,15.6401,45.5,90,70,2.28,broken clouds
99,Enid,US,36.3956,-97.8784,103.68,25,0,18.41,clear sky
100,Bennettsville,US,34.6174,-79.6848,89.42,75,0,0.0,clear sky
101,Bethel,US,41.3712,-73.414,77.36,65,81,4.0,broken clouds
102,Buchanan,LR,5.8808,-10.0467,75.87,82,82,8.99,broken clouds
103,Flinders,AU,-34.5833,150.8552,56.17,57,4,11.01,clear sky
104,Butaritari,KI,3.0707,172.7902,81.88,75,13,19.66,few clouds
105,Pokosnoye,RU,55.5258,101.0536,56.71,77,89,6.42,overcast clouds
106,Victoria,HK,22.2855,114.1577,88.32,74,1,5.01,clear sky
107,Henties Bay,NA,-22.116,14.2845,53.1,87,12,6.29,few clouds
108,Saint-Philippe,RE,-21.3585,55.7679,65.79,84,35,11.03,light rain
109,Kargat,RU,55.1956,80.2811,63.23,74,9,5.28,clear sky
110,Maceio,BR,-9.6658,-35.7353,74.64,88,75,9.22,broken clouds
111,Bambous Virieux,MU,-20.3428,57.7575,67.21,94,75,3.44,broken clouds
112,San Cristobal,VE,7.7669,-72.225,67.1,92,45,2.19,scattered clouds
113,Chuy,UY,-33.6971,-53.4616,59.16,96,83,5.91,broken clouds
114,Kununurra,AU,-15.7667,128.7333,76.98,27,19,10.36,few clouds
115,Sorong,ID,-0.8833,131.25,79.0,85,78,7.2,broken clouds
116,Qasigiannguit,GL,68.8193,-51.1922,44.85,98,100,3.58,overcast clouds
117,Pathein,MM,16.7833,94.7333,79.41,88,40,4.12,scattered clouds
118,Adzope,CI,6.1069,-3.8619,71.91,98,100,3.11,overcast clouds
119,Kruisfontein,ZA,-34.0033,24.7314,53.89,68,70,13.2,broken clouds
120,Cayenne,GF,4.9333,-52.3333,77.09,1,75,2.3,heavy intensity rain
121,Kahului,US,20.8947,-156.47,87.82,62,40,28.77,scattered clouds
122,Sulangan,PH,11.1373,123.7228,83.97,72,82,7.83,broken clouds
123,Conde,BR,-7.2597,-34.9075,72.86,94,75,5.75,broken clouds
124,Hohhot,CN,40.8106,111.6522,68.29,73,20,4.47,few clouds
125,Berdigestyakh,RU,62.0989,126.6992,75.34,52,39,5.46,scattered clouds
126,Cabo San Lucas,MX,22.8909,-109.9124,92.5,61,20,17.27,few clouds
127,Ponta Do Sol,PT,32.6667,-17.1,75.83,59,5,4.52,clear sky
128,Baykit,RU,61.67,96.37,62.29,96,99,2.91,overcast clouds
129,Husavik,IS,66.0449,-17.3389,51.82,83,99,5.61,overcast clouds
130,Kamina,CD,-8.7386,24.9906,60.73,50,50,4.18,scattered clouds
131,Ulaangom,MN,49.9811,92.0667,58.5,57,75,4.21,broken clouds
132,Vestmanna,FO,62.1564,-7.1664,49.12,100,100,1.14,light rain
133,Cidreira,BR,-30.1811,-50.2056,61.39,93,38,14.56,scattered clouds
134,Yellowknife,CA,62.456,-114.3525,70.32,52,20,8.05,few clouds
135,Obo,CF,5.3998,26.4869,67.21,99,100,4.56,light rain
136,Maragogi,BR,-9.0122,-35.2225,73.74,85,84,10.96,broken clouds
137,Baiyin,CN,36.5583,104.2081,64.51,55,91,8.08,overcast clouds
138,Zenzeli,RU,45.9241,47.0474,77.32,49,22,6.2,light rain
139,Bloomfield,US,40.8068,-74.1854,80.26,53,0,6.91,clear sky
140,Abu Kamal,SY,34.4506,40.9171,87.39,16,0,10.33,clear sky
141,Lakes Entrance,AU,-37.8811,147.981,56.16,76,32,13.94,scattered clouds
142,Saint-Augustin,CA,51.226,-58.6502,61.56,77,36,19.55,scattered clouds
143,San Jose,US,37.3394,-121.895,86.92,50,75,14.97,smoke
144,Cravo Norte,CO,6.3017,-70.2041,76.69,86,61,1.72,broken clouds
145,Geraldton,AU,-28.7667,114.6,45.01,87,0,10.36,clear sky
146,Tautira,PF,-17.7333,-149.15,75.99,83,99,12.8,light rain
147,Mulege,MX,26.8833,-111.9833,91.49,46,25,9.55,scattered clouds
148,Ndola,ZM,-12.9587,28.6366,54.86,62,3,7.56,clear sky
149,Margate,GB,51.3813,1.3862,61.3,74,98,1.99,overcast clouds
150,Ribeira Grande,PT,38.5167,-28.7,74.26,85,39,6.35,scattered clouds
151,Carnarvon,AU,-24.8667,113.6333,63.19,41,30,7.23,scattered clouds
152,Berlevag,NO,70.8578,29.0864,62.4,94,100,6.91,overcast clouds
153,Yerbogachen,RU,61.2767,108.0108,63.41,72,27,9.86,scattered clouds
154,Impfondo,CG,1.6381,18.0667,69.82,96,85,2.26,overcast clouds
155,Durres,AL,41.3231,19.4414,71.78,65,0,3.74,clear sky
156,Sambava,MG,-14.2667,50.1667,66.13,88,15,8.57,few clouds
157,Kapaa,US,22.0752,-159.319,85.98,69,100,19.57,overcast clouds
158,Faanui,PF,-16.4833,-151.75,78.21,74,23,10.56,light rain
159,Khatanga,RU,71.9667,102.5,73.53,48,80,9.55,broken clouds
160,Hit,IQ,33.6416,42.8251,89.28,14,0,10.11,clear sky
161,Balabac,PH,7.9868,117.0645,82.65,77,75,8.12,broken clouds
162,Williams Lake,CA,52.1415,-122.1445,90.05,33,0,8.05,clear sky
163,Katsuura,JP,35.1333,140.3,82.42,82,70,14.94,broken clouds
164,Katherine,AU,-14.4667,132.2667,73.72,31,10,12.66,clear sky
165,Kalemie,CD,-5.9475,29.1947,69.53,69,73,1.74,broken clouds
166,Mayo,US,38.8876,-76.5119,77.95,87,100,4.07,overcast clouds
167,Yulara,AU,-25.2406,130.9889,48.54,47,0,10.87,clear sky
168,Georgetown,MY,5.4112,100.3354,82.33,89,20,2.3,few clouds
169,Tucuma,BR,-0.1833,-50.05,76.24,91,90,5.08,overcast clouds
170,Oistins,BB,13.0667,-59.5333,80.69,74,20,17.27,few clouds
171,East London,ZA,-33.0153,27.9116,64.62,41,23,3.78,few clouds
172,Pemangkat,ID,1.1667,108.9667,77.83,88,100,5.73,moderate rain
173,Nanortalik,GL,60.1432,-45.2371,43.92,91,78,2.33,broken clouds
174,Ciudad Ojeda,VE,10.1964,-71.3082,77.52,90,98,5.97,overcast clouds
175,Caibarien,CU,22.5206,-79.4669,81.82,83,40,16.67,moderate rain
176,Marshfield,US,44.6689,-90.1718,77.88,68,100,3.44,overcast clouds
177,Narsaq,GL,60.9167,-46.05,53.82,91,21,1.63,few clouds
178,Komsomolskiy,UZ,40.4272,71.7189,81.32,34,4,4.61,clear sky
179,Talnakh,RU,69.4865,88.3972,60.21,63,58,5.48,broken clouds
180,Bubaque,GW,11.2833,-15.8333,79.9,77,96,9.71,overcast clouds
181,Shu,KZ,43.5983,73.7614,76.95,22,13,6.98,few clouds
182,Evanston,US,42.0411,-87.6901,79.47,64,75,12.66,broken clouds
183,Lazaro Cardenas,MX,17.9583,-102.2,84.58,64,68,5.79,broken clouds
184,Bilma,NE,18.6853,12.9164,89.98,12,38,6.78,scattered clouds
185,Lorengau,PG,-2.0226,147.2712,84.33,72,74,10.56,broken clouds
186,Yashkul,RU,46.1711,45.3435,75.16,56,61,5.39,broken clouds
187,Nogliki,RU,51.8333,143.1667,54.9,94,100,6.44,overcast clouds
188,Taybad,IR,34.74,60.7756,78.93,42,0,16.4,clear sky
189,Englehart,CA,47.8169,-79.8664,75.22,60,0,3.44,clear sky
190,San Jeronimo,PE,-11.9472,-75.2829,50.68,77,99,4.36,overcast clouds
191,Patacamaya,BO,-17.2333,-67.9167,46.85,44,56,7.4,broken clouds
192,Roswell,US,34.0232,-84.3616,87.69,72,0,5.75,clear sky
193,Alofi,NU,-19.0595,-169.9187,78.69,100,40,14.97,scattered clouds
194,Huambo,AO,-12.7761,15.7392,55.08,40,10,3.44,clear sky
195,Goundam,ML,16.4145,-3.6708,97.12,15,81,5.95,broken clouds
196,Moose Factory,CA,51.2585,-80.6094,64.4,82,0,10.36,clear sky
197,Manor,IN,19.75,72.9167,77.83,87,94,2.73,moderate rain
198,San Policarpo,PH,12.1791,125.5072,81.63,80,100,4.43,overcast clouds
199,Havelock,US,34.8791,-76.9013,84.18,89,93,5.99,overcast clouds
200,Port Elizabeth,ZA,-33.918,25.5701,63.32,59,0,14.97,clear sky
201,Iqaluit,CA,63.7506,-68.5145,44.33,81,20,8.05,few clouds
202,Kodiak,US,57.79,-152.4072,53.11,71,0,8.05,clear sky
203,Phibun Mangsahan,TH,15.2447,105.2291,78.78,83,99,4.9,overcast clouds
204,Krokeai,GR,36.8833,22.55,77.95,54,0,4.29,clear sky
205,Coihaique,CL,-45.5752,-72.0662,31.95,93,100,3.44,overcast clouds
206,Half Moon Bay,US,37.4636,-122.4286,81.91,68,100,18.41,overcast clouds
207,Lavrentiya,RU,65.5833,-171.0,41.45,81,95,14.61,overcast clouds
208,Jinchang,CN,38.4953,102.1739,71.29,36,31,10.0,scattered clouds
209,Tessalit,ML,20.1986,1.0114,95.59,10,9,4.25,clear sky
210,Clyde River,CA,70.4692,-68.5914,39.43,100,100,5.75,overcast clouds
211,Kandi,BJ,11.1342,2.9386,75.45,84,100,5.37,overcast clouds
212,Novopokrovka,UA,49.8425,36.5477,61.5,89,49,3.89,scattered clouds
213,Katangli,RU,51.7102,143.2326,54.45,95,100,5.91,moderate rain
214,Korla,CN,41.7597,86.1469,82.45,19,1,3.53,clear sky
215,Ivanovka,KG,42.8878,75.085,77.59,26,7,3.74,clear sky
216,Hofn,IS,64.2539,-15.2082,49.59,93,100,1.43,overcast clouds
217,Lanivtsi,UA,49.8633,26.0908,63.54,68,98,7.25,overcast clouds
218,Ixtapa,MX,20.7,-105.2,86.23,74,75,10.36,broken clouds
219,Ilulissat,GL,69.2167,-51.1,44.62,93,100,6.91,overcast clouds
220,Niquelandia,BR,-14.4739,-48.4597,70.27,36,0,4.72,clear sky
221,Port Hardy,CA,50.6996,-127.4199,75.38,64,0,8.05,clear sky
222,Atambua,ID,-9.1061,124.8925,73.74,66,94,5.55,overcast clouds
223,Esperance,AU,-33.8667,121.9,53.44,77,94,3.2,overcast clouds
224,Laguna,US,38.421,-121.4238,101.32,27,0,12.66,clear sky
225,Karratha,AU,-20.7377,116.8463,68.4,32,6,10.76,clear sky
226,Santa Cruz Del Sur,CU,20.7147,-77.9956,80.58,79,27,6.4,scattered clouds
227,Mao,ES,39.8885,4.2658,73.96,73,0,3.44,clear sky
228,Claudio,BR,-20.4433,-44.7658,61.43,56,0,3.94,clear sky
229,Leningradskiy,RU,69.3833,178.4167,35.13,95,100,6.49,overcast clouds
230,Leh,IN,34.1667,77.5833,58.32,74,100,4.21,overcast clouds
231,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,83,40,5.75,scattered clouds
232,De Aar,ZA,-30.6497,24.0123,52.95,58,3,5.12,clear sky
233,Izumo,JP,35.3667,132.7667,84.09,79,20,14.97,few clouds
234,Pevek,RU,69.7008,170.3133,34.32,87,89,11.05,overcast clouds
235,Ossora,RU,59.2353,163.0719,58.71,76,100,9.15,overcast clouds
236,Belmonte,BR,-15.8631,-38.8828,71.08,76,9,9.06,clear sky
237,Fairbanks,US,64.8378,-147.7164,53.56,76,75,13.8,light rain
238,Rong Kwang,TH,18.339,100.3174,78.28,91,82,0.98,broken clouds
239,Carutapera,BR,-1.195,-46.02,76.87,86,95,7.18,overcast clouds
240,Lima,PE,-12.0432,-77.0282,59.25,82,100,11.5,overcast clouds
241,Mahebourg,MU,-20.4081,57.7,67.24,94,75,3.44,broken clouds
242,Buritizeiro,BR,-17.3511,-44.9622,65.68,54,0,2.64,clear sky
243,Camacha,PT,33.0833,-16.3333,67.42,83,40,14.97,scattered clouds
244,Kuytun,RU,54.3419,101.5036,57.74,71,59,4.85,broken clouds
245,Mogadishu,SO,2.0371,45.3438,75.72,81,78,20.96,broken clouds
246,Gamba,GA,-2.65,10.0,68.95,92,66,4.12,broken clouds
247,Dallas,US,32.7668,-96.7836,103.57,30,40,11.5,scattered clouds
248,Pokhara,NP,28.2333,83.9833,71.37,94,99,1.34,overcast clouds
249,Norden,DE,53.6,7.2,57.96,69,95,12.93,overcast clouds
250,Airai,TL,-8.9266,125.4092,63.28,53,79,5.28,broken clouds
251,Inta,RU,66.0317,60.1659,45.72,89,72,10.92,broken clouds
252,Hambantota,LK,6.1241,81.1185,79.21,84,95,4.45,overcast clouds
253,Oparino,RU,59.8518,48.2783,52.84,79,100,4.27,overcast clouds
254,Vila Velha,BR,-20.3297,-40.2925,71.94,86,20,0.0,few clouds
255,Nioro,GM,13.35,-15.75,77.47,91,64,5.61,broken clouds
256,High Level,CA,58.5169,-117.136,80.71,47,75,8.05,broken clouds
257,College,US,64.8569,-147.8028,55.09,75,100,13.8,light rain
258,Avera,US,33.194,-82.5271,87.31,58,99,5.88,overcast clouds
259,Orlik,RU,52.5178,99.825,51.01,67,58,0.78,broken clouds
260,Weinan,CN,34.5036,109.5089,73.83,96,100,3.42,overcast clouds
261,Tazovskiy,RU,67.4667,78.7,48.76,80,89,7.74,overcast clouds
262,Lompoc,US,34.6391,-120.4579,83.01,73,0,16.11,clear sky
263,Didwana,IN,27.4,74.5667,81.09,80,22,6.58,moderate rain
264,Vikhorevka,RU,56.1201,101.1636,58.59,82,83,5.3,broken clouds
265,Lucea,JM,18.451,-78.1736,82.26,75,95,8.08,overcast clouds
266,Bireun,ID,5.203,96.7009,76.69,84,100,3.44,overcast clouds
267,Oriximina,BR,-1.7656,-55.8661,78.57,73,84,4.09,broken clouds
268,Mount Gambier,AU,-37.8333,140.7667,52.43,89,86,9.26,overcast clouds
269,Shakawe,BW,-18.3667,21.85,56.16,44,0,5.86,clear sky
270,Faya,SA,18.3851,42.4509,64.92,61,99,3.22,overcast clouds
271,Flin Flon,CA,54.7682,-101.865,56.77,87,99,9.89,overcast clouds
272,Huilong,CN,31.8111,121.655,84.92,80,57,4.65,broken clouds
273,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.97,98,51,2.51,moderate rain
274,Lakatoro,VU,-16.0999,167.4164,81.72,76,18,8.86,few clouds
275,Ola,RU,59.5833,151.2833,71.15,86,99,6.55,overcast clouds
276,Benjamin Aceval,PY,-24.9667,-57.5667,75.6,45,5,6.35,clear sky
277,Nipawin,CA,53.3668,-104.0009,68.04,60,20,11.5,few clouds
278,Lithakia,GR,37.7167,20.8333,76.33,79,0,2.62,clear sky
279,Aklavik,CA,68.2191,-135.0107,67.28,31,99,20.4,overcast clouds
280,Cam Ranh,VN,11.9214,109.1591,78.76,78,40,2.3,scattered clouds
281,Ende,ID,-8.8432,121.6623,77.59,67,64,0.72,broken clouds
282,Namatanai,PG,-3.6667,152.4333,84.4,64,60,7.38,broken clouds
283,Mount Isa,AU,-20.7333,139.5,62.37,34,0,11.5,clear sky
284,Biak,ID,-0.9131,122.8766,75.74,91,99,5.86,light rain
285,Teknaf,BD,20.8624,92.3058,79.2,83,60,3.31,broken clouds
286,Buala,SB,-8.145,159.5921,83.82,71,90,5.28,light rain
287,Buin,CL,-33.7333,-70.75,56.43,77,74,2.01,broken clouds
288,Motygino,RU,58.1831,94.7592,54.81,98,100,8.48,light rain
289,Puerto Escondido,MX,15.85,-97.0667,81.43,74,100,5.75,overcast clouds
290,Buraydah,SA,26.326,43.975,90.05,16,94,7.61,overcast clouds
291,Vanimo,PG,-2.6741,141.3028,83.64,70,92,4.45,overcast clouds
292,Pangnirtung,CA,66.1451,-65.7125,50.07,72,79,3.22,broken clouds
293,Fort Nelson,CA,58.8053,-122.7002,85.59,39,75,3.44,broken clouds
